Occupational_Prestige_Pct,Highest_Educ_Level,Happiness,sex,Year
38,12,Pretty Happy,2,2021
38,14,Very Happy,2,2021
40,17,Very Happy,2,2021
59,19,Pretty Happy,2,2021
60,16,Pretty Happy,2,2021
61,16,Pretty Happy,2,2021
38,14,Pretty Happy,2,2021
35,12,Not Too Happy,2,2021
60,14,Not Too Happy,2,2021
43,15,Pretty Happy,2,2021
54,17,Pretty Happy,2,2021
24,16,Pretty Happy,2,2021
54,18,Not Too Happy,2,2021
64,20,Pretty Happy,2,2021
74,16,Very Happy,2,2021
80,16,Not Too Happy,2,2021
47,18,Pretty Happy,2,2021
31,12,Not Too Happy,2,2021
43,13,Pretty Happy,2,2021
49,8,Not Too Happy,2,2021
65,16,Pretty Happy,2,2021
63,16,Very Happy,2,2021
63,16,Not Too Happy,2,2021
28,12,Pretty Happy,2,2021
48,14,Not Too Happy,2,2021
41,16,Pretty Happy,2,2021
42,13,Pretty Happy,2,2021
39,16,NA,2,2021
44,14,Not Too Happy,2,2021
51,16,Pretty Happy,2,2021
28,20,Not Too Happy,2,2021
49,17,Not Too Happy,2,2021
28,15,Pretty Happy,2,2021
54,16,Pretty Happy,2,2021
NA,6,Not Too Happy,2,2021
25,12,Very Happy,2,2021
31,12,Very Happy,2,2021
48,12,Pretty Happy,2,2021
61,18,Pretty Happy,2,2021
51,16,Not Too Happy,2,2021
34,10,Not Too Happy,2,2021
31,18,Not Too Happy,2,2021
61,16,Pretty Happy,2,2021
53,16,Very Happy,2,2021
31,12,Pretty Happy,2,2021
55,14,Pretty Happy,2,2021
32,15,Pretty Happy,2,2021
61,18,Not Too Happy,2,2021
39,18,Pretty Happy,2,2021
59,18,Pretty Happy,2,2021
38,14,Pretty Happy,2,2021
60,14,Very Happy,2,2021
74,20,Pretty Happy,2,2021
NA,15,Pretty Happy,2,2021
48,16,Not Too Happy,2,2021
59,18,Pretty Happy,2,2021
56,18,Pretty Happy,2,2021
NA,16,NA,2,2021
17,13,Very Happy,2,2021
66,16,Pretty Happy,2,2021
58,16,Pretty Happy,2,2021
37,13,Very Happy,2,2021
64,16,Pretty Happy,2,2021
47,12,Not Too Happy,2,2021
48,12,Pretty Happy,2,2021
69,16,Pretty Happy,2,2021
47,16,Not Too Happy,2,2021
51,18,Very Happy,2,2021
51,18,Pretty Happy,2,2021
51,16,Pretty Happy,2,2021
65,16,Pretty Happy,2,2021
61,16,Pretty Happy,2,2021
48,12,Pretty Happy,2,2021
45,11,Not Too Happy,2,2021
38,16,Not Too Happy,2,2021
39,19,Pretty Happy,2,2021
61,16,Pretty Happy,2,2021
55,20,Very Happy,2,2021
30,14,Pretty Happy,2,2021
61,16,Pretty Happy,2,2021
44,14,Very Happy,2,2021
37,16,Pretty Happy,2,2021
73,17,Pretty Happy,2,2021
64,19,Pretty Happy,2,2021
54,20,Pretty Happy,2,2021
51,16,Pretty Happy,2,2021
59,18,Pretty Happy,2,2021
47,16,Very Happy,2,2021
54,16,Very Happy,2,2021
35,16,Pretty Happy,2,2021
64,18,Pretty Happy,2,2021
32,12,Very Happy,2,2021
31,13,Pretty Happy,2,2021
45,14,Pretty Happy,2,2021
48,12,Pretty Happy,2,2021
38,13,Pretty Happy,2,2021
39,10,Not Too Happy,2,2021
45,13,Pretty Happy,2,2021
42,16,Very Happy,2,2021
46,17,Pretty Happy,2,2021
60,16,Pretty Happy,2,2021
48,12,Pretty Happy,2,2021
32,14,Not Too Happy,2,2021
46,12,Not Too Happy,2,2021
53,12,Pretty Happy,2,2021
61,17,Not Too Happy,2,2021
33,6,NA,2,2021
61,12,Very Happy,2,2021
44,14,Not Too Happy,2,2021
49,13,Not Too Happy,2,2021
45,12,Pretty Happy,2,2021
45,16,Pretty Happy,2,2021
54,15,Not Too Happy,2,2021
47,12,Not Too Happy,2,2021
31,14,Not Too Happy,2,2021
31,12,Very Happy,2,2021
46,17,Pretty Happy,2,2021
37,13,Not Too Happy,2,2021
59,18,Not Too Happy,2,2021
NA,17,NA,2,2021
61,20,Very Happy,2,2021
32,14,Pretty Happy,2,2021
64,16,Not Too Happy,2,2021
47,12,Very Happy,2,2021
64,18,Pretty Happy,2,2021
25,14,Very Happy,2,2021
28,15,Pretty Happy,2,2021
NA,11,Not Too Happy,2,2021
24,12,Pretty Happy,2,2021
33,17,Not Too Happy,2,2021
42,16,Pretty Happy,2,2021
NA,14,Very Happy,2,2021
18,14,Pretty Happy,2,2021
44,13,Pretty Happy,2,2021
80,20,Very Happy,2,2021
39,16,Pretty Happy,2,2021
31,12,Pretty Happy,2,2021
38,12,Not Too Happy,2,2021
25,18,Pretty Happy,2,2021
59,16,Pretty Happy,2,2021
35,14,Pretty Happy,2,2021
48,12,Not Too Happy,2,2021
