Occupational_Prestige_Pct,Highest_Educ_Level,Happiness,sex,Year
52,14,Pretty Happy,2,2002
47,13,NA,2,2002
64,2,NA,2,2002
64,16,NA,2,2002
37,12,NA,2,2002
31,13,NA,2,2002
47,12,Pretty Happy,2,2002
64,12,NA,2,2002
37,12,NA,2,2002
50,12,Not Too Happy,2,2002
55,13,NA,2,2002
31,16,NA,2,2002
48,12,NA,2,2002
44,14,Pretty Happy,2,2002
48,17,NA,2,2002
31,12,NA,2,2002
21,9,NA,2,2002
48,14,NA,2,2002
51,16,Very Happy,2,2002
49,14,Not Too Happy,2,2002
48,20,Very Happy,2,2002
47,16,Very Happy,2,2002
21,10,NA,2,2002
64,17,Pretty Happy,2,2002
48,14,NA,2,2002
53,13,NA,2,2002
52,12,NA,2,2002
31,12,NA,2,2002
47,12,Very Happy,2,2002
64,17,NA,2,2002
27,13,Pretty Happy,2,2002
64,16,NA,2,2002
38,12,Very Happy,2,2002
32,14,NA,2,2002
46,14,NA,2,2002
51,19,Pretty Happy,2,2002
47,12,Very Happy,2,2002
48,11,Not Too Happy,2,2002
NA,5,NA,2,2002
48,9,NA,2,2002
55,13,Not Too Happy,2,2002
32,11,Pretty Happy,2,2002
31,11,NA,2,2002
50,15,Pretty Happy,2,2002
55,13,Very Happy,2,2002
59,14,Pretty Happy,2,2002
21,13,Pretty Happy,2,2002
NA,12,Very Happy,2,2002
30,NA,NA,2,2002
61,18,NA,2,2002
32,14,Very Happy,2,2002
46,12,NA,2,2002
44,12,NA,2,2002
32,15,Very Happy,2,2002
74,16,NA,2,2002
61,17,Pretty Happy,2,2002
45,12,NA,2,2002
64,16,Pretty Happy,2,2002
47,13,Pretty Happy,2,2002
32,13,NA,2,2002
46,13,NA,2,2002
31,17,NA,2,2002
48,12,Pretty Happy,2,2002
31,11,NA,2,2002
24,11,NA,2,2002
64,12,Pretty Happy,2,2002
50,15,NA,2,2002
48,12,NA,2,2002
50,12,NA,2,2002
64,12,NA,2,2002
32,11,Not Too Happy,2,2002
31,11,NA,2,2002
38,2,Not Too Happy,2,2002
47,15,Not Too Happy,2,2002
61,15,NA,2,2002
45,16,NA,2,2002
47,13,Pretty Happy,2,2002
48,12,Pretty Happy,2,2002
47,14,Pretty Happy,2,2002
39,13,NA,2,2002
48,16,Very Happy,2,2002
47,14,NA,2,2002
64,16,Pretty Happy,2,2002
25,12,NA,2,2002
49,12,NA,2,2002
47,12,NA,2,2002
47,12,Very Happy,2,2002
47,12,NA,2,2002
33,12,Pretty Happy,2,2002
31,14,NA,2,2002
32,13,NA,2,2002
22,12,Pretty Happy,2,2002
NA,12,NA,2,2002
NA,12,Pretty Happy,2,2002
45,16,NA,2,2002
31,12,Pretty Happy,2,2002
47,12,NA,2,2002
31,14,NA,2,2002
53,12,Not Too Happy,2,2002
60,15,Very Happy,2,2002
38,16,NA,2,2002
48,16,NA,2,2002
48,16,NA,2,2002
51,20,Not Too Happy,2,2002
40,17,Pretty Happy,2,2002
46,16,Pretty Happy,2,2002
32,12,Pretty Happy,2,2002
31,13,Pretty Happy,2,2002
NA,10,NA,2,2002
48,13,NA,2,2002
25,14,Pretty Happy,2,2002
45,15,Not Too Happy,2,2002
49,13,Pretty Happy,2,2002
31,12,NA,2,2002
38,20,Pretty Happy,2,2002
31,2,NA,2,2002
46,18,Very Happy,2,2002
53,14,NA,2,2002
61,16,NA,2,2002
33,12,Pretty Happy,2,2002
36,16,NA,2,2002
24,14,Pretty Happy,2,2002
40,13,NA,2,2002
51,14,NA,2,2002
31,14,NA,2,2002
56,14,Not Too Happy,2,2002
53,16,NA,2,2002
55,14,NA,2,2002
53,12,Pretty Happy,2,2002
25,12,Very Happy,2,2002
69,14,NA,2,2002
NA,16,NA,2,2002
74,20,NA,2,2002
49,12,NA,2,2002
62,16,Pretty Happy,2,2002
35,14,NA,2,2002
64,14,NA,2,2002
60,12,Not Too Happy,2,2002
NA,10,NA,2,2002
64,18,NA,2,2002
38,14,Very Happy,2,2002
38,9,NA,2,2002
16,12,Pretty Happy,2,2002
31,13,NA,2,2002
35,9,NA,2,2002
36,16,NA,2,2002
53,16,Very Happy,2,2002
25,11,NA,2,2002
53,14,Pretty Happy,2,2002
32,14,Pretty Happy,2,2002
29,15,Not Too Happy,2,2002
49,12,NA,2,2002
NA,5,NA,2,2002
24,13,Pretty Happy,2,2002
32,16,Pretty Happy,2,2002
21,11,Pretty Happy,2,2002
25,14,NA,2,2002
33,11,NA,2,2002
35,12,NA,2,2002
39,11,Pretty Happy,2,2002
33,16,Very Happy,2,2002
35,13,NA,2,2002
59,18,Pretty Happy,2,2002
42,15,NA,2,2002
39,12,Pretty Happy,2,2002
80,20,Very Happy,2,2002
52,16,NA,2,2002
28,10,NA,2,2002
65,18,NA,2,2002
61,16,Pretty Happy,2,2002
65,17,NA,2,2002
27,6,Pretty Happy,2,2002
49,14,Very Happy,2,2002
38,12,Pretty Happy,2,2002
45,13,NA,2,2002
30,13,NA,2,2002
53,14,NA,2,2002
53,14,NA,2,2002
46,14,NA,2,2002
48,15,NA,2,2002
47,12,NA,2,2002
31,12,Pretty Happy,2,2002
64,18,Very Happy,2,2002
21,12,NA,2,2002
47,14,NA,2,2002
60,16,Pretty Happy,2,2002
36,14,Not Too Happy,2,2002
38,12,Pretty Happy,2,2002
47,16,Not Too Happy,2,2002
24,12,NA,2,2002
55,12,Very Happy,2,2002
55,16,NA,2,2002
43,12,Pretty Happy,2,2002
31,12,NA,2,2002
28,12,Not Too Happy,2,2002
35,14,Pretty Happy,2,2002
51,18,NA,2,2002
42,20,Pretty Happy,2,2002
38,16,Pretty Happy,2,2002
17,11,NA,2,2002
31,16,Pretty Happy,2,2002
25,15,NA,2,2002
48,5,Very Happy,2,2002
47,13,Pretty Happy,2,2002
38,9,Not Too Happy,2,2002
45,14,Pretty Happy,2,2002
46,13,NA,2,2002
35,12,NA,2,2002
31,13,NA,2,2002
32,12,Pretty Happy,2,2002
35,2,Not Too Happy,2,2002
59,14,Pretty Happy,2,2002
61,13,NA,2,2002
53,16,NA,2,2002
47,14,NA,2,2002
53,14,Very Happy,2,2002
16,12,NA,2,2002
31,15,NA,2,2002
53,16,Pretty Happy,2,2002
31,16,NA,2,2002
21,12,Very Happy,2,2002
35,15,NA,2,2002
62,14,NA,2,2002
28,12,Pretty Happy,2,2002
74,20,Not Too Happy,2,2002
25,9,NA,2,2002
39,12,Pretty Happy,2,2002
31,12,Not Too Happy,2,2002
38,12,NA,2,2002
31,12,Not Too Happy,2,2002
38,13,NA,2,2002
30,14,Pretty Happy,2,2002
35,14,NA,2,2002
51,20,Pretty Happy,2,2002
47,13,Pretty Happy,2,2002
28,12,NA,2,2002
47,13,Pretty Happy,2,2002
61,17,Pretty Happy,2,2002
49,16,NA,2,2002
29,14,Pretty Happy,2,2002
47,14,Pretty Happy,2,2002
64,15,NA,2,2002
47,14,NA,2,2002
21,16,Pretty Happy,2,2002
58,16,Very Happy,2,2002
NA,NA,NA,2,2002
39,18,NA,2,2002
38,16,Very Happy,2,2002
32,13,NA,2,2002
50,11,NA,2,2002
59,16,NA,2,2002
58,18,Pretty Happy,2,2002
48,11,NA,2,2002
38,12,NA,2,2002
48,14,Pretty Happy,2,2002
NA,14,NA,2,2002
35,6,NA,2,2002
69,20,Very Happy,2,2002
64,17,Pretty Happy,2,2002
63,19,NA,2,2002
50,16,Very Happy,2,2002
74,20,Pretty Happy,2,2002
48,16,NA,2,2002
61,20,Not Too Happy,2,2002
25,6,NA,2,2002
35,9,Not Too Happy,2,2002
38,14,Pretty Happy,2,2002
31,NA,Very Happy,2,2002
48,14,NA,2,2002
31,13,Not Too Happy,2,2002
51,14,NA,2,2002
NA,14,Pretty Happy,2,2002
NA,14,Pretty Happy,2,2002
64,18,NA,2,2002
47,11,NA,2,2002
31,12,NA,2,2002
39,14,Very Happy,2,2002
64,17,NA,2,2002
NA,8,NA,2,2002
35,14,Pretty Happy,2,2002
40,12,NA,2,2002
48,12,NA,2,2002
33,12,NA,2,2002
NA,8,Pretty Happy,2,2002
47,13,NA,2,2002
31,12,Not Too Happy,2,2002
36,12,Pretty Happy,2,2002
73,16,Pretty Happy,2,2002
61,13,Pretty Happy,2,2002
63,18,NA,2,2002
49,16,Pretty Happy,2,2002
55,12,Pretty Happy,2,2002
35,14,NA,2,2002
54,16,NA,2,2002
28,14,NA,2,2002
46,13,NA,2,2002
32,12,NA,2,2002
35,11,Pretty Happy,2,2002
36,11,NA,2,2002
34,14,NA,2,2002
28,12,Not Too Happy,2,2002
57,16,NA,2,2002
60,16,Very Happy,2,2002
54,19,NA,2,2002
47,16,Not Too Happy,2,2002
