Occupational_Prestige_Pct,Highest_Educ_Level,Happiness,sex,Year
51,16,Very Happy,2,2014
53,16,Very Happy,2,2014
60,17,Very Happy,2,2014
46,17,Pretty Happy,2,2014
NA,10,Not Too Happy,2,2014
42,15,Very Happy,2,2014
NA,5,Pretty Happy,2,2014
35,11,Pretty Happy,2,2014
32,16,Pretty Happy,2,2014
48,13,Pretty Happy,2,2014
21,8,Very Happy,2,2014
58,14,Very Happy,2,2014
NA,12,Very Happy,2,2014
21,11,Pretty Happy,2,2014
56,15,Pretty Happy,2,2014
38,18,Not Too Happy,2,2014
49,17,Pretty Happy,2,2014
45,16,Pretty Happy,2,2014
NA,16,Pretty Happy,2,2014
48,12,Very Happy,2,2014
21,11,Very Happy,2,2014
31,10,Pretty Happy,2,2014
66,17,Very Happy,2,2014
48,16,Pretty Happy,2,2014
46,12,Pretty Happy,2,2014
51,15,Pretty Happy,2,2014
47,18,Not Too Happy,2,2014
47,12,Pretty Happy,2,2014
52,17,Very Happy,2,2014
47,15,Not Too Happy,2,2014
39,18,Pretty Happy,2,2014
45,18,Very Happy,2,2014
60,16,Very Happy,2,2014
43,16,Pretty Happy,2,2014
64,20,Very Happy,2,2014
55,16,Pretty Happy,2,2014
63,16,Very Happy,2,2014
61,20,Pretty Happy,2,2014
39,16,Pretty Happy,2,2014
64,20,Pretty Happy,2,2014
64,18,Not Too Happy,2,2014
52,16,Pretty Happy,2,2014
35,6,Not Too Happy,2,2014
31,10,Pretty Happy,2,2014
31,11,Pretty Happy,2,2014
28,10,Pretty Happy,2,2014
48,9,Pretty Happy,2,2014
48,14,Very Happy,2,2014
35,12,Pretty Happy,2,2014
51,16,Very Happy,2,2014
48,8,Very Happy,2,2014
44,15,Not Too Happy,2,2014
35,14,Pretty Happy,2,2014
35,13,Not Too Happy,2,2014
35,12,Not Too Happy,2,2014
NA,17,Not Too Happy,2,2014
40,13,Pretty Happy,2,2014
48,12,Pretty Happy,2,2014
47,16,Pretty Happy,2,2014
46,16,Very Happy,2,2014
36,12,Not Too Happy,2,2014
24,16,Pretty Happy,2,2014
64,18,Pretty Happy,2,2014
53,16,Not Too Happy,2,2014
28,16,Not Too Happy,2,2014
61,18,Pretty Happy,2,2014
61,16,Very Happy,2,2014
74,16,Very Happy,2,2014
71,19,Not Too Happy,2,2014
47,15,Pretty Happy,2,2014
48,16,Pretty Happy,2,2014
40,14,Pretty Happy,2,2014
51,18,Very Happy,2,2014
31,16,Very Happy,2,2014
