Occupational_Prestige_Pct,Highest_Educ_Level,Happiness,sex,Year
35,12,Pretty Happy,2,2016
31,18,Very Happy,2,2016
36,14,Very Happy,2,2016
48,11,Very Happy,2,2016
48,12,NA,2,2016
32,12,Not Too Happy,2,2016
48,NA,Very Happy,2,2016
46,13,Pretty Happy,2,2016
38,10,Pretty Happy,2,2016
48,12,Pretty Happy,2,2016
41,11,Pretty Happy,2,2016
28,10,Very Happy,2,2016
43,12,Very Happy,2,2016
22,15,Pretty Happy,2,2016
44,3,Not Too Happy,2,2016
31,12,Not Too Happy,2,2016
29,12,Pretty Happy,2,2016
61,12,Not Too Happy,2,2016
61,16,Pretty Happy,2,2016
60,16,Very Happy,2,2016
45,14,Pretty Happy,2,2016
31,12,Pretty Happy,2,2016
35,12,Not Too Happy,2,2016
32,16,Pretty Happy,2,2016
66,20,Not Too Happy,2,2016
53,16,Pretty Happy,2,2016
69,16,Very Happy,2,2016
38,16,Very Happy,2,2016
36,12,Pretty Happy,2,2016
31,16,Very Happy,2,2016
30,16,Pretty Happy,2,2016
53,17,Pretty Happy,2,2016
31,17,Pretty Happy,2,2016
74,20,Pretty Happy,2,2016
28,10,Pretty Happy,2,2016
NA,12,NA,2,2016
34,13,Not Too Happy,2,2016
NA,11,Pretty Happy,2,2016
48,10,Not Too Happy,2,2016
48,11,Pretty Happy,2,2016
NA,6,Not Too Happy,2,2016
35,10,Not Too Happy,2,2016
54,14,Very Happy,2,2016
64,18,Very Happy,2,2016
NA,10,Not Too Happy,2,2016
54,20,Pretty Happy,2,2016
58,18,Pretty Happy,2,2016
39,19,Very Happy,2,2016
50,14,Not Too Happy,2,2016
58,16,Pretty Happy,2,2016
24,13,Pretty Happy,2,2016
21,12,Very Happy,2,2016
48,12,Pretty Happy,2,2016
44,16,Pretty Happy,2,2016
38,12,Pretty Happy,2,2016
35,12,Pretty Happy,2,2016
39,14,Pretty Happy,2,2016
32,8,Pretty Happy,2,2016
45,12,Pretty Happy,2,2016
48,12,Not Too Happy,2,2016
40,16,Very Happy,2,2016
60,16,Very Happy,2,2016
80,20,Very Happy,2,2016
52,17,Pretty Happy,2,2016
47,19,Very Happy,2,2016
61,19,Very Happy,2,2016
40,12,Pretty Happy,2,2016
64,18,Very Happy,2,2016
38,15,Very Happy,2,2016
45,16,Pretty Happy,2,2016
50,12,Very Happy,2,2016
58,16,Pretty Happy,2,2016
53,16,Pretty Happy,2,2016
46,14,Pretty Happy,2,2016
41,12,Not Too Happy,2,2016
36,14,Pretty Happy,2,2016
45,12,Pretty Happy,2,2016
42,12,Not Too Happy,2,2016
47,16,Very Happy,2,2016
64,16,Very Happy,2,2016
35,14,Very Happy,2,2016
43,16,Pretty Happy,2,2016
39,16,Very Happy,2,2016
51,16,Pretty Happy,2,2016
39,12,Pretty Happy,2,2016
46,15,Very Happy,2,2016
31,12,Very Happy,2,2016
64,18,Not Too Happy,2,2016
46,16,Pretty Happy,2,2016
NA,16,Very Happy,2,2016
47,13,Pretty Happy,2,2016
69,15,Very Happy,2,2016
31,12,Not Too Happy,2,2016
32,NA,Pretty Happy,2,2016
22,12,Not Too Happy,2,2016
NA,11,Not Too Happy,2,2016
48,12,Not Too Happy,2,2016
67,13,Pretty Happy,2,2016
28,11,Not Too Happy,2,2016
44,12,Pretty Happy,2,2016
47,14,Not Too Happy,2,2016
46,14,Pretty Happy,2,2016
38,18,Pretty Happy,2,2016
18,12,Pretty Happy,2,2016
64,16,Not Too Happy,2,2016
50,17,Pretty Happy,2,2016
NA,8,Not Too Happy,2,2016
42,1,Pretty Happy,2,2016
47,14,Pretty Happy,2,2016
31,9,Pretty Happy,2,2016
25,2,Very Happy,2,2016
42,8,Very Happy,2,2016
28,13,Very Happy,2,2016
39,20,Pretty Happy,2,2016
60,16,Pretty Happy,2,2016
36,11,Not Too Happy,2,2016
46,16,Very Happy,2,2016
61,19,Very Happy,2,2016
32,16,Pretty Happy,2,2016
35,12,Pretty Happy,2,2016
48,12,Pretty Happy,2,2016
49,12,Very Happy,2,2016
46,18,Pretty Happy,2,2016
39,12,Pretty Happy,2,2016
65,16,Very Happy,2,2016
60,18,Very Happy,2,2016
64,19,Not Too Happy,2,2016
28,18,Pretty Happy,2,2016
35,16,Very Happy,2,2016
25,7,Very Happy,2,2016
60,17,Pretty Happy,2,2016
53,13,Pretty Happy,2,2016
59,12,Very Happy,2,2016
45,16,Pretty Happy,2,2016
48,16,Very Happy,2,2016
61,20,Pretty Happy,2,2016
74,20,Pretty Happy,2,2016
53,13,Very Happy,2,2016
47,17,Pretty Happy,2,2016
64,16,Not Too Happy,2,2016
72,12,Pretty Happy,2,2016
38,13,Very Happy,2,2016
74,18,Very Happy,2,2016
62,18,Very Happy,2,2016
69,16,Very Happy,2,2016
39,16,Pretty Happy,2,2016
31,13,Very Happy,2,2016
61,20,Pretty Happy,2,2016
55,14,Pretty Happy,2,2016
45,9,Very Happy,2,2016
35,14,Pretty Happy,2,2016
NA,12,Pretty Happy,2,2016
65,13,Very Happy,2,2016
37,12,Pretty Happy,2,2016
47,12,Pretty Happy,2,2016
60,17,Pretty Happy,2,2016
35,11,Very Happy,2,2016
