Occupational_Prestige_Pct,Highest_Educ_Level,Happiness,sex,Year
48,12,Pretty Happy,2,2008
28,12,Pretty Happy,2,2008
60,12,Very Happy,2,2008
51,14,Not Too Happy,2,2008
34,9,Not Too Happy,2,2008
64,18,Very Happy,2,2008
60,16,Pretty Happy,2,2008
74,18,Pretty Happy,2,2008
48,13,Very Happy,2,2008
40,12,Pretty Happy,2,2008
33,12,Pretty Happy,2,2008
60,13,Pretty Happy,2,2008
NA,13,Pretty Happy,2,2008
48,12,Very Happy,2,2008
69,18,NA,2,2008
35,12,Pretty Happy,2,2008
32,12,Very Happy,2,2008
31,16,Pretty Happy,2,2008
53,16,Very Happy,2,2008
31,14,Pretty Happy,2,2008
36,16,Very Happy,2,2008
57,16,Very Happy,2,2008
38,14,Pretty Happy,2,2008
31,10,Very Happy,2,2008
39,13,Pretty Happy,2,2008
45,16,Very Happy,2,2008
31,15,Pretty Happy,2,2008
71,20,Pretty Happy,2,2008
48,16,Very Happy,2,2008
35,14,Not Too Happy,2,2008
47,16,Pretty Happy,2,2008
49,14,Very Happy,2,2008
46,16,Pretty Happy,2,2008
63,16,Pretty Happy,2,2008
51,16,Not Too Happy,2,2008
61,19,Pretty Happy,2,2008
38,12,Pretty Happy,2,2008
71,18,Pretty Happy,2,2008
44,12,Not Too Happy,2,2008
44,16,Very Happy,2,2008
48,12,Pretty Happy,2,2008
47,12,Very Happy,2,2008
53,12,Not Too Happy,2,2008
41,14,Pretty Happy,2,2008
47,15,Pretty Happy,2,2008
NA,16,Not Too Happy,2,2008
31,13,Pretty Happy,2,2008
35,14,Very Happy,2,2008
53,12,Very Happy,2,2008
44,13,Pretty Happy,2,2008
51,20,Not Too Happy,2,2008
74,18,Pretty Happy,2,2008
28,8,Very Happy,2,2008
45,15,Pretty Happy,2,2008
47,12,Not Too Happy,2,2008
60,12,Very Happy,2,2008
61,19,Very Happy,2,2008
27,10,Pretty Happy,2,2008
61,18,Pretty Happy,2,2008
39,12,Pretty Happy,2,2008
51,18,Very Happy,2,2008
53,16,Pretty Happy,2,2008
60,16,Pretty Happy,2,2008
39,13,Pretty Happy,2,2008
72,20,Very Happy,2,2008
51,16,Pretty Happy,2,2008
59,18,Pretty Happy,2,2008
51,16,Very Happy,2,2008
38,15,Very Happy,2,2008
NA,16,Very Happy,2,2008
45,18,Pretty Happy,2,2008
32,16,Pretty Happy,2,2008
55,16,Very Happy,2,2008
36,11,Pretty Happy,2,2008
48,14,Pretty Happy,2,2008
39,13,Very Happy,2,2008
57,16,Very Happy,2,2008
43,12,Pretty Happy,2,2008
21,9,Very Happy,2,2008
33,12,Not Too Happy,2,2008
48,13,Pretty Happy,2,2008
35,6,Very Happy,2,2008
25,15,Pretty Happy,2,2008
50,11,Pretty Happy,2,2008
48,12,Very Happy,2,2008
32,9,Pretty Happy,2,2008
33,0,Pretty Happy,2,2008
73,16,Pretty Happy,2,2008
53,15,Pretty Happy,2,2008
35,12,Pretty Happy,2,2008
35,9,Not Too Happy,2,2008
28,12,Pretty Happy,2,2008
39,16,Pretty Happy,2,2008
31,19,Not Too Happy,2,2008
53,14,Pretty Happy,2,2008
53,13,Very Happy,2,2008
24,13,Not Too Happy,2,2008
34,0,Not Too Happy,2,2008
47,16,Pretty Happy,2,2008
17,15,Not Too Happy,2,2008
46,16,Pretty Happy,2,2008
52,16,Very Happy,2,2008
35,6,Pretty Happy,2,2008
NA,13,Very Happy,2,2008
60,16,Very Happy,2,2008
53,14,Pretty Happy,2,2008
25,12,Not Too Happy,2,2008
38,11,Not Too Happy,2,2008
39,12,Pretty Happy,2,2008
38,11,Not Too Happy,2,2008
28,12,Very Happy,2,2008
38,16,Very Happy,2,2008
33,9,Very Happy,2,2008
31,13,Not Too Happy,2,2008
NA,9,Very Happy,2,2008
55,20,Pretty Happy,2,2008
60,16,Pretty Happy,2,2008
61,17,Very Happy,2,2008
16,13,Very Happy,2,2008
47,12,Pretty Happy,2,2008
47,16,Pretty Happy,2,2008
NA,16,Pretty Happy,2,2008
35,4,NA,2,2008
69,16,Not Too Happy,2,2008
45,12,Very Happy,2,2008
28,14,Very Happy,2,2008
54,14,Pretty Happy,2,2008
62,12,Pretty Happy,2,2008
35,12,Not Too Happy,2,2008
62,12,Not Too Happy,2,2008
47,12,Very Happy,2,2008
47,13,Pretty Happy,2,2008
64,16,Pretty Happy,2,2008
37,NA,Very Happy,2,2008
30,13,Pretty Happy,2,2008
25,10,Pretty Happy,2,2008
48,14,Not Too Happy,2,2008
61,18,Very Happy,2,2008
38,11,Not Too Happy,2,2008
28,13,Not Too Happy,2,2008
58,12,Pretty Happy,2,2008
42,14,Very Happy,2,2008
59,16,Very Happy,2,2008
48,16,Not Too Happy,2,2008
43,20,Pretty Happy,2,2008
24,11,Pretty Happy,2,2008
32,9,Not Too Happy,2,2008
NA,12,Pretty Happy,2,2008
NA,4,Not Too Happy,2,2008
36,14,Very Happy,2,2008
39,14,Very Happy,2,2008
36,8,Pretty Happy,2,2008
47,10,Pretty Happy,2,2008
62,14,Pretty Happy,2,2008
31,11,Pretty Happy,2,2008
40,14,Pretty Happy,2,2008
NA,11,Very Happy,2,2008
47,14,Not Too Happy,2,2008
48,14,Not Too Happy,2,2008
45,12,Very Happy,2,2008
44,11,Not Too Happy,2,2008
25,13,Pretty Happy,2,2008
NA,12,Pretty Happy,2,2008
54,18,Pretty Happy,2,2008
36,14,Very Happy,2,2008
32,4,Not Too Happy,2,2008
47,12,Pretty Happy,2,2008
32,12,Pretty Happy,2,2008
53,16,Not Too Happy,2,2008
61,20,Pretty Happy,2,2008
38,13,Pretty Happy,2,2008
52,16,Pretty Happy,2,2008
38,15,Pretty Happy,2,2008
35,16,Pretty Happy,2,2008
NA,12,Pretty Happy,2,2008
47,13,Very Happy,2,2008
24,6,Pretty Happy,2,2008
38,4,Pretty Happy,2,2008
24,12,Pretty Happy,2,2008
31,12,Pretty Happy,2,2008
46,18,Pretty Happy,2,2008
48,14,Very Happy,2,2008
35,11,Not Too Happy,2,2008
