Occupational_Prestige_Pct,Highest_Educ_Level,Happiness,sex,Year
60,13,Very Happy,2,2012
40,16,Very Happy,2,2012
73,19,Very Happy,2,2012
31,15,Pretty Happy,2,2012
NA,11,Pretty Happy,2,2012
NA,9,Not Too Happy,2,2012
53,17,Pretty Happy,2,2012
35,16,Pretty Happy,2,2012
NA,12,Not Too Happy,2,2012
48,12,Very Happy,2,2012
51,13,Pretty Happy,2,2012
39,13,Pretty Happy,2,2012
NA,12,Pretty Happy,2,2012
32,0,Not Too Happy,2,2012
59,16,Very Happy,2,2012
43,17,Pretty Happy,2,2012
47,16,Not Too Happy,2,2012
53,13,Pretty Happy,2,2012
32,14,Very Happy,2,2012
31,14,Pretty Happy,2,2012
48,12,Very Happy,2,2012
32,17,Pretty Happy,2,2012
31,14,Pretty Happy,2,2012
39,18,Very Happy,2,2012
24,14,Not Too Happy,2,2012
39,18,Pretty Happy,2,2012
39,16,Very Happy,2,2012
49,16,Very Happy,2,2012
61,16,Pretty Happy,2,2012
46,16,Pretty Happy,2,2012
64,16,Pretty Happy,2,2012
71,20,Very Happy,2,2012
NA,20,Pretty Happy,2,2012
55,14,Pretty Happy,2,2012
36,12,Not Too Happy,2,2012
48,8,Pretty Happy,2,2012
NA,9,Very Happy,2,2012
64,19,Not Too Happy,2,2012
61,17,Not Too Happy,2,2012
59,16,Not Too Happy,2,2012
NA,14,Not Too Happy,2,2012
24,11,Pretty Happy,2,2012
46,16,Pretty Happy,2,2012
48,14,Pretty Happy,2,2012
64,16,Pretty Happy,2,2012
48,16,Pretty Happy,2,2012
47,14,Pretty Happy,2,2012
63,13,Very Happy,2,2012
25,12,Not Too Happy,2,2012
55,18,Pretty Happy,2,2012
74,20,Pretty Happy,2,2012
59,12,Pretty Happy,2,2012
74,19,Very Happy,2,2012
35,12,Not Too Happy,2,2012
17,17,NA,2,2012
64,18,Pretty Happy,2,2012
51,20,Pretty Happy,2,2012
64,16,Very Happy,2,2012
47,12,Pretty Happy,2,2012
45,10,Pretty Happy,2,2012
25,14,Not Too Happy,2,2012
NA,13,Pretty Happy,2,2012
55,17,Pretty Happy,2,2012
64,16,Pretty Happy,2,2012
NA,20,Pretty Happy,2,2012
48,19,Pretty Happy,2,2012
44,13,Pretty Happy,2,2012
NA,18,Not Too Happy,2,2012
51,14,Pretty Happy,2,2012
70,16,Pretty Happy,2,2012
48,12,Pretty Happy,2,2012
38,14,Not Too Happy,2,2012
65,18,Pretty Happy,2,2012
61,14,Pretty Happy,2,2012
55,16,Not Too Happy,2,2012
47,20,Pretty Happy,2,2012
33,6,Not Too Happy,2,2012
47,12,Pretty Happy,2,2012
33,12,Not Too Happy,2,2012
22,6,Very Happy,2,2012
38,12,Not Too Happy,2,2012
48,13,Pretty Happy,2,2012
60,16,Pretty Happy,2,2012
48,14,Pretty Happy,2,2012
38,16,Pretty Happy,2,2012
47,11,Not Too Happy,2,2012
51,14,Pretty Happy,2,2012
48,14,Pretty Happy,2,2012
35,14,Pretty Happy,2,2012
28,9,Not Too Happy,2,2012
NA,6,Pretty Happy,2,2012
32,6,Very Happy,2,2012
33,11,Pretty Happy,2,2012
64,14,Very Happy,2,2012
53,13,Not Too Happy,2,2012
73,17,Very Happy,2,2012
46,12,Pretty Happy,2,2012
NA,13,Pretty Happy,2,2012
28,14,Not Too Happy,2,2012
46,16,Pretty Happy,2,2012
46,15,Very Happy,2,2012
46,15,Very Happy,2,2012
NA,14,Pretty Happy,2,2012
NA,15,Very Happy,2,2012
61,19,Very Happy,2,2012
38,12,Pretty Happy,2,2012
31,16,Pretty Happy,2,2012
63,16,Pretty Happy,2,2012
44,12,Pretty Happy,2,2012
53,16,Pretty Happy,2,2012
53,16,Pretty Happy,2,2012
32,12,Not Too Happy,2,2012
48,13,Very Happy,2,2012
45,12,Pretty Happy,2,2012
47,14,Very Happy,2,2012
NA,9,Very Happy,2,2012
NA,17,Pretty Happy,2,2012
35,13,Pretty Happy,2,2012
61,19,Pretty Happy,2,2012
59,14,Very Happy,2,2012
46,14,Pretty Happy,2,2012
64,18,Pretty Happy,2,2012
NA,12,Pretty Happy,2,2012
NA,9,Pretty Happy,2,2012
28,11,Very Happy,2,2012
25,12,Pretty Happy,2,2012
40,12,Pretty Happy,2,2012
47,19,Pretty Happy,2,2012
47,12,Very Happy,2,2012
24,6,Very Happy,2,2012
35,16,Very Happy,2,2012
48,12,Very Happy,2,2012
64,14,Very Happy,2,2012
NA,6,Very Happy,2,2012
56,12,Pretty Happy,2,2012
NA,0,Pretty Happy,2,2012
45,16,Pretty Happy,2,2012
64,14,Not Too Happy,2,2012
64,16,Pretty Happy,2,2012
47,12,Pretty Happy,2,2012
NA,8,Pretty Happy,2,2012
24,12,Very Happy,2,2012
47,16,Very Happy,2,2012
61,16,Pretty Happy,2,2012
47,12,Pretty Happy,2,2012
28,12,Pretty Happy,2,2012
61,16,Very Happy,2,2012
33,16,Very Happy,2,2012
61,18,Pretty Happy,2,2012
35,12,Pretty Happy,2,2012
17,12,Very Happy,2,2012
45,14,Pretty Happy,2,2012
64,16,Pretty Happy,2,2012
31,12,Pretty Happy,2,2012
58,16,Very Happy,2,2012
53,16,Pretty Happy,2,2012
59,20,Very Happy,2,2012
64,16,Pretty Happy,2,2012
47,13,Not Too Happy,2,2012
53,16,Pretty Happy,2,2012
NA,14,Very Happy,2,2012
31,14,Pretty Happy,2,2012
74,16,Very Happy,2,2012
25,12,Not Too Happy,2,2012
36,12,Not Too Happy,2,2012
33,12,Pretty Happy,2,2012
17,11,Pretty Happy,2,2012
47,12,Pretty Happy,2,2012
73,16,Pretty Happy,2,2012
35,8,Very Happy,2,2012
38,16,NA,2,2012
25,4,Pretty Happy,2,2012
38,12,Pretty Happy,2,2012
21,15,Pretty Happy,2,2012
38,16,Very Happy,2,2012
47,14,Not Too Happy,2,2012
46,17,Pretty Happy,2,2012
63,16,Pretty Happy,2,2012
60,16,Very Happy,2,2012
51,17,Pretty Happy,2,2012
64,17,Pretty Happy,2,2012
64,12,Pretty Happy,2,2012
38,16,Pretty Happy,2,2012
61,16,Pretty Happy,2,2012
25,16,Very Happy,2,2012
NA,19,Pretty Happy,2,2012
31,14,Pretty Happy,2,2012
51,20,Not Too Happy,2,2012
63,16,Pretty Happy,2,2012
53,13,Pretty Happy,2,2012
69,18,Not Too Happy,2,2012
21,10,Very Happy,2,2012
48,13,Pretty Happy,2,2012
35,18,Pretty Happy,2,2012
39,16,Pretty Happy,2,2012
64,15,Pretty Happy,2,2012
NA,12,Pretty Happy,2,2012
24,5,Not Too Happy,2,2012
35,10,Pretty Happy,2,2012
64,16,Pretty Happy,2,2012
53,12,Pretty Happy,2,2012
48,15,Pretty Happy,2,2012
61,16,Pretty Happy,2,2012
53,14,Very Happy,2,2012
24,12,Pretty Happy,2,2012
45,14,Pretty Happy,2,2012
46,15,Pretty Happy,2,2012
60,20,Pretty Happy,2,2012
60,16,Not Too Happy,2,2012
35,14,Not Too Happy,2,2012
NA,16,Pretty Happy,2,2012
22,14,Not Too Happy,2,2012
21,18,Pretty Happy,2,2012
61,17,Pretty Happy,2,2012
31,12,Pretty Happy,2,2012
47,16,Pretty Happy,2,2012
24,12,Pretty Happy,2,2012
64,19,Very Happy,2,2012
45,15,Not Too Happy,2,2012
48,13,Pretty Happy,2,2012
NA,12,Very Happy,2,2012
51,14,Pretty Happy,2,2012
52,16,Very Happy,2,2012
61,20,Pretty Happy,2,2012
