Occupational_Prestige_Pct,Highest_Educ_Level,Happiness,sex,Year
22,10,Very Happy,2,2018
59,16,Very Happy,2,2018
53,16,Not Too Happy,2,2018
48,13,Pretty Happy,2,2018
35,8,Not Too Happy,2,2018
35,14,Pretty Happy,2,2018
45,13,Not Too Happy,2,2018
28,12,Pretty Happy,2,2018
53,12,Pretty Happy,2,2018
64,16,Not Too Happy,2,2018
NA,16,Very Happy,2,2018
64,20,Pretty Happy,2,2018
38,15,Very Happy,2,2018
NA,14,Pretty Happy,2,2018
64,14,Pretty Happy,2,2018
54,16,Very Happy,2,2018
38,12,Pretty Happy,2,2018
NA,9,Not Too Happy,2,2018
48,12,Not Too Happy,2,2018
64,12,Pretty Happy,2,2018
60,16,Pretty Happy,2,2018
64,16,Pretty Happy,2,2018
35,10,Very Happy,2,2018
39,20,Pretty Happy,2,2018
NA,12,Pretty Happy,2,2018
35,12,Pretty Happy,2,2018
24,12,Very Happy,2,2018
48,16,Pretty Happy,2,2018
48,12,Not Too Happy,2,2018
65,18,Pretty Happy,2,2018
48,16,Pretty Happy,2,2018
53,12,Not Too Happy,2,2018
48,18,Pretty Happy,2,2018
80,18,Very Happy,2,2018
33,16,Pretty Happy,2,2018
32,14,Not Too Happy,2,2018
31,9,Not Too Happy,2,2018
25,13,Pretty Happy,2,2018
35,10,Not Too Happy,2,2018
43,16,Pretty Happy,2,2018
48,13,Pretty Happy,2,2018
47,14,Very Happy,2,2018
58,19,Pretty Happy,2,2018
54,16,Very Happy,2,2018
28,16,Very Happy,2,2018
63,20,Pretty Happy,2,2018
32,14,Very Happy,2,2018
57,16,Very Happy,2,2018
37,8,Pretty Happy,2,2018
52,14,Pretty Happy,2,2018
NA,NA,Very Happy,2,2018
59,16,Pretty Happy,2,2018
NA,12,Pretty Happy,2,2018
51,12,Very Happy,2,2018
38,13,Very Happy,2,2018
25,13,Pretty Happy,2,2018
51,19,Not Too Happy,2,2018
35,12,Not Too Happy,2,2018
NA,16,Pretty Happy,2,2018
42,13,Pretty Happy,2,2018
NA,12,Pretty Happy,2,2018
39,4,Very Happy,2,2018
69,12,Not Too Happy,2,2018
53,14,Very Happy,2,2018
46,12,Pretty Happy,2,2018
51,16,Very Happy,2,2018
45,14,Not Too Happy,2,2018
64,14,Very Happy,2,2018
47,12,Very Happy,2,2018
31,12,Not Too Happy,2,2018
52,14,Pretty Happy,2,2018
36,13,Very Happy,2,2018
