Occupational_Prestige_Pct,Highest_Educ_Level,Happiness,sex,Year
NA,9,NA,2,2004
NA,14,NA,2,2004
59,17,NA,2,2004
48,12,NA,2,2004
48,9,NA,2,2004
61,16,NA,2,2004
36,13,Pretty Happy,2,2004
45,14,NA,2,2004
38,16,NA,2,2004
46,13,NA,2,2004
47,12,Pretty Happy,2,2004
49,17,NA,2,2004
46,16,NA,2,2004
39,20,Not Too Happy,2,2004
57,18,Pretty Happy,2,2004
39,13,Not Too Happy,2,2004
47,15,Pretty Happy,2,2004
48,13,Pretty Happy,2,2004
NA,13,NA,2,2004
32,16,Pretty Happy,2,2004
40,12,NA,2,2004
24,8,NA,2,2004
31,16,Very Happy,2,2004
52,16,NA,2,2004
74,20,NA,2,2004
53,18,NA,2,2004
31,14,Pretty Happy,2,2004
NA,14,Pretty Happy,2,2004
51,18,NA,2,2004
51,18,NA,2,2004
38,16,NA,2,2004
51,17,NA,2,2004
71,18,Pretty Happy,2,2004
46,15,NA,2,2004
40,16,NA,2,2004
35,14,Very Happy,2,2004
25,10,NA,2,2004
65,18,NA,2,2004
47,15,Very Happy,2,2004
61,17,NA,2,2004
NA,12,Pretty Happy,2,2004
47,12,NA,2,2004
63,16,Pretty Happy,2,2004
58,13,NA,2,2004
46,12,NA,2,2004
28,12,NA,2,2004
30,12,Pretty Happy,2,2004
31,12,Not Too Happy,2,2004
58,19,Very Happy,2,2004
31,16,NA,2,2004
28,16,Very Happy,2,2004
NA,14,NA,2,2004
69,17,NA,2,2004
28,15,NA,2,2004
NA,14,NA,2,2004
32,8,Pretty Happy,2,2004
24,12,Pretty Happy,2,2004
64,18,NA,2,2004
63,13,Pretty Happy,2,2004
36,16,Pretty Happy,2,2004
59,12,NA,2,2004
39,18,Not Too Happy,2,2004
32,6,NA,2,2004
55,12,Pretty Happy,2,2004
59,18,NA,2,2004
31,12,NA,2,2004
25,16,Very Happy,2,2004
24,12,Pretty Happy,2,2004
35,12,NA,2,2004
38,16,NA,2,2004
51,16,Pretty Happy,2,2004
47,12,NA,2,2004
NA,12,Pretty Happy,2,2004
64,18,Very Happy,2,2004
NA,16,Pretty Happy,2,2004
64,18,Not Too Happy,2,2004
62,19,Pretty Happy,2,2004
47,13,Pretty Happy,2,2004
47,16,NA,2,2004
33,14,Pretty Happy,2,2004
53,19,Not Too Happy,2,2004
45,16,NA,2,2004
35,13,NA,2,2004
31,13,NA,2,2004
38,12,Pretty Happy,2,2004
53,13,Pretty Happy,2,2004
39,12,NA,2,2004
47,15,Not Too Happy,2,2004
